Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-06 08:00:00-05:00,15941.0,16017.25,15932.5,16013.25,0,0.0,0.0
2023-12-06 09:00:00-05:00,16013.25,16037.75,15936.25,15948.75,108692,0.0,0.0
2023-12-06 10:00:00-05:00,15948.75,15973.25,15876.0,15935.0,123289,0.0,0.0
2023-12-06 11:00:00-05:00,15935.25,15949.75,15863.5,15916.5,84920,0.0,0.0
2023-12-06 12:00:00-05:00,15916.25,15924.75,15864.25,15868.5,52010,0.0,0.0
2023-12-06 13:00:00-05:00,15868.75,15888.5,15844.0,15884.25,49706,0.0,0.0
2023-12-06 14:00:00-05:00,15884.5,15888.25,15856.75,15867.25,39521,0.0,0.0
2023-12-06 15:00:00-05:00,15867.25,15872.75,15802.0,15815.0,74588,0.0,0.0
2023-12-06 16:00:00-05:00,15815.0,15822.0,15809.25,15814.5,13507,0.0,0.0
2023-12-06 18:00:00-05:00,15814.5,15825.0,15800.75,15817.0,0,0.0,0.0
2023-12-06 19:00:00-05:00,15816.25,15825.0,15807.75,15815.25,3901,0.0,0.0
2023-12-06 20:00:00-05:00,15815.5,15823.5,15799.75,15804.0,4065,0.0,0.0
2023-12-06 21:00:00-05:00,15803.75,15815.0,15803.0,15810.25,3629,0.0,0.0
2023-12-06 22:00:00-05:00,15810.25,15819.5,15804.0,15813.0,3561,0.0,0.0
2023-12-06 23:00:00-05:00,15812.5,15817.25,15811.25,15814.75,1744,0.0,0.0
2023-12-07 00:00:00-05:00,15813.75,15814.5,15792.75,15799.25,4326,0.0,0.0
2023-12-07 01:00:00-05:00,15799.75,15808.75,15792.5,15794.75,2854,0.0,0.0
2023-12-07 02:00:00-05:00,15795.0,15815.75,15791.0,15814.25,4937,0.0,0.0
2023-12-07 03:00:00-05:00,15814.5,15836.75,15814.25,15820.75,10226,0.0,0.0
2023-12-07 04:00:00-05:00,15820.25,15852.25,15803.0,15844.75,12024,0.0,0.0
2023-12-07 05:00:00-05:00,15844.5,15851.5,15834.75,15847.75,5946,0.0,0.0
2023-12-07 06:00:00-05:00,15847.0,15857.5,15835.75,15851.75,6968,0.0,0.0
2023-12-07 07:00:00-05:00,15851.75,15861.0,15838.5,15859.0,8700,0.0,0.0
2023-12-07 08:00:00-05:00,15859.25,15916.25,15844.5,15909.5,27652,0.0,0.0
2023-12-07 09:00:00-05:00,15909.75,15982.0,15887.5,15907.0,121029,0.0,0.0
2023-12-07 10:00:00-05:00,15907.25,16007.5,15904.0,15997.5,103681,0.0,0.0
2023-12-07 11:00:00-05:00,15997.5,16028.0,15930.75,16026.5,93551,0.0,0.0
2023-12-07 12:00:00-05:00,16026.5,16056.0,16010.0,16033.75,53133,0.0,0.0
2023-12-07 13:00:00-05:00,16034.0,16052.5,16016.5,16033.75,34632,0.0,0.0
2023-12-07 14:00:00-05:00,16033.75,16066.0,16022.0,16023.5,40962,0.0,0.0
2023-12-07 15:00:00-05:00,16023.5,16051.0,16019.25,16035.75,56565,0.0,0.0
2023-12-07 16:00:00-05:00,16035.75,16035.75,16006.0,16018.0,16528,0.0,0.0
2023-12-07 18:00:00-05:00,16017.5,16038.75,16016.0,16019.5,0,0.0,0.0
2023-12-07 19:00:00-05:00,16020.0,16030.75,16018.5,16023.25,3542,0.0,0.0
2023-12-07 20:00:00-05:00,16023.0,16024.5,16006.5,16011.75,4146,0.0,0.0
2023-12-07 21:00:00-05:00,16011.0,16021.5,16010.75,16018.0,2117,0.0,0.0
2023-12-07 22:00:00-05:00,16017.25,16026.5,16015.0,16025.25,1837,0.0,0.0
2023-12-07 23:00:00-05:00,16025.25,16029.0,16022.5,16025.5,1600,0.0,0.0
2023-12-08 00:00:00-05:00,16026.75,16028.25,16015.25,16017.5,2250,0.0,0.0
2023-12-08 01:00:00-05:00,16017.5,16019.5,16010.0,16011.75,1689,0.0,0.0
2023-12-08 02:00:00-05:00,16012.5,16012.75,15993.0,15997.25,3834,0.0,0.0
2023-12-08 03:00:00-05:00,15997.25,16009.75,15988.25,16008.0,7051,0.0,0.0
2023-12-08 04:00:00-05:00,16007.75,16029.0,16006.5,16027.25,6170,0.0,0.0
2023-12-08 05:00:00-05:00,16027.25,16038.75,16019.0,16030.5,4942,0.0,0.0
2023-12-08 06:00:00-05:00,16031.25,16034.5,15991.5,15998.0,6240,0.0,0.0
2023-12-08 07:00:00-05:00,15998.25,16002.5,15970.75,15987.75,12089,0.0,0.0
2023-12-08 08:00:00-05:00,15988.75,15999.0,15888.25,15965.25,52257,0.0,0.0
2023-12-08 09:00:00-05:00,15965.5,16026.0,15938.5,15991.75,90737,0.0,0.0
2023-12-08 10:00:00-05:00,15997.75,16113.5,15997.75,16105.75,132139,0.0,0.0
2023-12-08 11:00:00-05:00,16105.75,16112.25,16010.0,16026.75,74954,0.0,0.0
2023-12-08 12:00:00-05:00,16027.0,16070.25,15989.5,16067.75,47900,0.0,0.0
2023-12-08 13:00:00-05:00,16067.25,16087.5,16059.5,16086.5,33437,0.0,0.0
2023-12-08 14:00:00-05:00,16086.5,16118.75,16081.0,16113.5,32312,0.0,0.0
2023-12-08 15:00:00-05:00,16113.5,16117.5,16087.75,16098.75,46462,0.0,0.0
2023-12-08 16:00:00-05:00,16099.0,16099.25,16086.5,16094.0,11661,0.0,0.0
2023-12-10 18:00:00-05:00,16093.0,16114.5,16082.25,16104.25,4269,0.0,0.0
2023-12-10 19:00:00-05:00,16104.0,16109.25,16069.0,16075.5,4635,0.0,0.0
2023-12-10 20:00:00-05:00,16075.5,16077.25,16062.5,16069.75,4226,0.0,0.0
2023-12-10 21:00:00-05:00,16068.5,16073.0,16052.0,16053.5,3114,0.0,0.0
2023-12-10 22:00:00-05:00,16054.25,16060.25,16050.0,16057.0,1953,0.0,0.0
2023-12-10 23:00:00-05:00,16056.75,16060.75,16050.25,16053.5,1641,0.0,0.0
2023-12-11 00:00:00-05:00,16052.75,16064.5,16049.25,16063.0,2395,0.0,0.0
2023-12-11 01:00:00-05:00,16062.5,16077.25,16059.25,16060.75,3141,0.0,0.0
2023-12-11 02:00:00-05:00,16060.0,16068.25,16052.0,16063.75,3547,0.0,0.0
2023-12-11 03:00:00-05:00,16063.25,16076.25,16058.0,16063.5,5058,0.0,0.0
2023-12-11 04:00:00-05:00,16063.25,16090.75,16060.0,16070.75,5094,0.0,0.0
2023-12-11 05:00:00-05:00,16072.25,16085.25,16059.5,16061.25,3876,0.0,0.0
2023-12-11 06:00:00-05:00,16061.75,16072.75,16045.5,16070.25,4922,0.0,0.0
2023-12-11 07:00:00-05:00,16071.0,16085.75,16065.5,16078.5,6139,0.0,0.0
2023-12-11 08:00:00-05:00,16077.75,16084.75,16058.25,16080.0,15537,0.0,0.0
2023-12-11 09:00:00-05:00,16079.75,16163.75,16068.75,16160.0,69139,0.0,0.0
2023-12-11 10:00:00-05:00,16160.75,16199.75,16135.0,16176.75,62986,0.0,0.0
2023-12-11 11:00:00-05:00,16177.0,16187.5,16121.5,16162.5,59731,0.0,0.0
2023-12-11 12:00:00-05:00,16162.0,16204.0,16146.75,16201.5,31404,0.0,0.0
2023-12-11 13:00:00-05:00,16201.25,16243.75,16188.0,16235.25,30519,0.0,0.0
2023-12-11 14:00:00-05:00,16234.75,16245.75,16216.25,16223.25,21645,0.0,0.0
2023-12-11 15:00:00-05:00,16223.75,16239.75,16210.5,16234.0,32307,0.0,0.0
2023-12-11 16:00:00-05:00,16234.25,16248.0,16228.5,16243.25,6962,0.0,0.0
2023-12-11 18:00:00-05:00,16240.0,16243.25,16229.25,16241.0,0,0.0,0.0
2023-12-11 19:00:00-05:00,16241.75,16271.75,16240.0,16257.5,4521,0.0,0.0
2023-12-11 20:00:00-05:00,16256.5,16259.5,16244.5,16249.75,2885,0.0,0.0
2023-12-11 21:00:00-05:00,16249.5,16257.5,16247.75,16254.25,2411,0.0,0.0
2023-12-11 22:00:00-05:00,16254.25,16261.5,16252.25,16254.5,1086,0.0,0.0
2023-12-11 23:00:00-05:00,16254.0,16258.5,16251.5,16255.25,1057,0.0,0.0
2023-12-12 00:00:00-05:00,16254.5,16266.75,16253.75,16263.25,1050,0.0,0.0
2023-12-12 01:00:00-05:00,16263.75,16265.75,16257.25,16262.25,1257,0.0,0.0
2023-12-12 02:00:00-05:00,16262.25,16269.25,16259.0,16262.25,2401,0.0,0.0
2023-12-12 03:00:00-05:00,16262.0,16281.25,16257.25,16258.0,5642,0.0,0.0
2023-12-12 04:00:00-05:00,16258.25,16270.25,16252.0,16269.5,3340,0.0,0.0
2023-12-12 05:00:00-05:00,16268.25,16268.25,16253.0,16255.75,3596,0.0,0.0
2023-12-12 06:00:00-05:00,16255.5,16264.75,16252.75,16254.5,2632,0.0,0.0
2023-12-12 07:00:00-05:00,16254.25,16285.5,16253.75,16280.0,5675,0.0,0.0
